id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type
10516610,Lovely Room in Historic Brownstone,54210823,Kristin,Manhattan,Upper West Side,Private room
10519216,Beautiful LARGE one bedroom apt,54235059,Emmett,Queens,Long Island City,Entire home/apt
10520825,1br Large furnished bedroom in cool Bushwick,54242258,Steven,Brooklyn,Bushwick,Private room
10522830,Beautiful garden studio in Bushwick,1855214,Marie-Adele,Brooklyn,Bushwick,Entire home/apt
10524082,Two blocks from Bedstuy-Nostrand G,54262760,Howard,Brooklyn,Bedford-Stuyvesant,Private room
10524365,Parlor apt 1 block from Times Sq,48705078,Mike,Manhattan,Hell's Kitchen,Entire home/apt
10524983,Midtown West luxury one bedroom,49380531,Autumn,Manhattan,Hell's Kitchen,Private room
10525616,Prime Park Slope Apartment,14076423,J,Brooklyn,Park Slope,Entire home/apt
10525911,Big Bright Quiet Williamsburg Townhouse Family Apt,41177070,Dennis,Brooklyn,Williamsburg,Entire home/apt
10526335,Awesome Loft in Brooklyn-- easy access to the city,13200818,Jay,Brooklyn,Bushwick,Private room
10526745,Large Private Bedroom in Comfy Home,54279433,Mfoniso,Queens,Sunnyside,Private room
10526930,UES Studio with roof access,54280519,Russell,Manhattan,Upper East Side,Entire home/apt
10527142,Beautiful and Cozy Garden Level Brooklyn Townhouse,54282449,Michael,Brooklyn,Bedford-Stuyvesant,Entire home/apt
10527274,"Luxury Apt, Near Subway, Perfect for Work or Play!",54283244,Kara,Brooklyn,Bedford-Stuyvesant,Entire home/apt
10527546,Central Park Quiet 1BR,14290739,Stanton,Manhattan,Upper West Side,Entire home/apt
10534018,Sunny Studio ~ Great Location!,17500155,Karol,Queens,Long Island City,Entire home/apt
10537651,Beautiful Central Harlem Apartment,2650644,Bianca,Manhattan,Harlem,Entire home/apt
10537769,Private Room in Greenpoint Brooklyn,54339185,Julio,Brooklyn,Greenpoint,Private room
10538353,Beautiful designer studio on 1st,7203997,Gosia,Brooklyn,Park Slope,Entire home/apt
10539341,"Sunny, one bedroom apartment UES",54120025,Emma,Manhattan,Upper East Side,Entire home/apt
10539491,Kid Friendly Central Park West Apt.,54348871,Suzette,Manhattan,Upper West Side,Entire home/apt
10539779,"Our home away from home 
“Cosy studio”",54351163,Sonia,Manhattan,East Village,Entire home/apt
10540337,Comfy Queen Bed in Spacious Room,54353888,David,Manhattan,Harlem,Private room
10540383,Stylish Bedroom (16 min from TIMES SQUARE),40221604,John,Manhattan,Harlem,Private room
10540910,Greenpoint 2BR in Townhouse w/Parking,53713798,Maryla,Brooklyn,Greenpoint,Entire home/apt
10541080,Gorgeous & cozy studio in Manhattan,36710280,Carolina,Manhattan,Upper West Side,Entire home/apt
10542066,Cozy Room/ 10min LGA #2,51531044,Angela,Queens,Jackson Heights,Private room
10542174,Luxury 1-Bdrm in Downtown Brooklyn,10099253,Ashley,Brooklyn,Fort Greene,Entire home/apt
10542347,Mega comfy pullout QN - clean apartment,30423241,Nick,Brooklyn,Greenpoint,Private room
10542658,1 bed room apartment in Greenpoint,2470568,Jonathan,Brooklyn,Greenpoint,Entire home/apt
10542679,Cozy Guest Room in Brooklyn,18802626,Brittni,Brooklyn,Bedford-Stuyvesant,Private room
10544239,Charming East Village apartment,16911296,Gurdane,Manhattan,East Village,Private room
10544439,Room in Soho Apartment,54375099,Rob,Manhattan,SoHo,Private room
10545027,Clinton Hill - pied-à-terre,54378184,Eej,Brooklyn,Clinton Hill,Entire home/apt
